Unnamed: 0,Unnamed: 1,Session Info,Session Info.1,Session Info.2,Unnamed: 5,Last Deal,Last Deal.1,Last Deal.2,Unnamed: 9,End of day info,End of day info.1,End of day info.2,Unnamed: 13,Reference prices,Reference prices.1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Fecha_Extraccion
Contract name,,Best bid (€/MWh),Best Ask (€/MWh),Volume (MWh),,Price (€/MWh),Time,Volume (MWh),,Open Interest,Nr of Contracts,OTC volume (MWh),,D (€/MWh),D-1 (€/MWh),,,,Transparency info,2026-08-29
,,,,,,,,,,,,,,,,,,,,2026-08-29
ISIN Code: PTFTO0461916Nominal Fixo MWH: 24Trading last day: 2026-08-31Trading quotation: €/MWhFTB D Tu01Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,140.03,,,,,2026-08-29
ISIN Code: PTFTO0461924Nominal Fixo MWH: 24Trading last day: 2026-09-01Trading quotation: €/MWhFTB D We02Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,138.37,,,,,2026-08-29
ISIN Code: PTFTO0461932Nominal Fixo MWH: 24Trading last day: 2026-09-02Trading quotation: €/MWhFTB D Th03Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,138.21,,,,,2026-08-29
ISIN Code: PTFTO0461940Nominal Fixo MWH: 24Trading last day: 2026-09-03Trading quotation: €/MWhFTB D Fr04Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,134.78,,,,,2026-08-29
ISIN Code: PTFTO0461957Nominal Fixo MWH: 24Trading last day: 2026-09-04Trading quotation: €/MWhFTB D Sa05Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,113.18,,,,,2026-08-29
ISIN Code: PTFTO0461965Nominal Fixo MWH: 24Trading last day: 2026-09-04Trading quotation: €/MWhFTB D Su06Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,101.82,,,,,2026-08-29
ISIN Code: PTFTO0463573Nominal Fixo MWH: 48Trading last day: 2026-09-04Trading quotation: €/MWhFTB WE 05Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,107.50,,,,,2026-08-29
ISIN Code: PTFTO0464076Nominal Fixo MWH: 168Trading last day: 2026-09-04Trading quotation: €/MWhFTB Wk37-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,125.63,,,,,2026-08-29
